vary,recall_overrun,ratio_overrun,recall_mismatch,artifact_share_pct
overrun,0.7,1.3,0.4,3.1
overrun,0.7,1.4,0.4,1.6
overrun,0.7,1.5,0.4,1.0
overrun,0.7,1.6,0.4,1.0
overrun,0.7,1.7,0.4,0.9
overrun,0.75,1.3,0.4,3.0
overrun,0.75,1.4,0.4,1.6
overrun,0.75,1.5,0.4,1.0
overrun,0.75,1.6,0.4,1.0
overrun,0.75,1.7,0.4,0.9
overrun,0.8,1.3,0.4,2.9
overrun,0.8,1.4,0.4,1.6
overrun,0.8,1.5,0.4,1.0
overrun,0.8,1.6,0.4,1.0
overrun,0.8,1.7,0.4,0.9
overrun,0.85,1.3,0.4,2.5
overrun,0.85,1.4,0.4,1.5
overrun,0.85,1.5,0.4,0.9
overrun,0.85,1.6,0.4,0.9
overrun,0.85,1.7,0.4,0.8
overrun,0.9,1.3,0.4,2.0
overrun,0.9,1.4,0.4,1.3
overrun,0.9,1.5,0.4,0.9
overrun,0.9,1.6,0.4,0.9
overrun,0.9,1.7,0.4,0.8
mismatch,0.8,1.5,0.3,1.0
mismatch,0.8,1.5,0.35,1.0
mismatch,0.8,1.5,0.4,1.0
mismatch,0.8,1.5,0.45,1.0
mismatch,0.8,1.5,0.5,1.0
